TOKEN_DESCONOCIDO: #
PALABRA_RESERVADA: include
OPERADOR: <
IDENTIFICADOR: iostream
OPERADOR: >
PALABRA_RESERVADA: using
PALABRA_RESERVADA: namespace
PALABRA_RESERVADA: std
SEPARADOR: ;
PALABRA_RESERVADA: int
IDENTIFICADOR: main
SEPARADOR: (
SEPARADOR: )
SEPARADOR: {
PALABRA_RESERVADA: int
IDENTIFICADOR: x
OPERADOR: =
NUM_ENTERO: 10
SEPARADOR: ;
PALABRA_RESERVADA: float
IDENTIFICADOR: y
OPERADOR: =
NUM_FLOTANTE: 3.14
SEPARADOR: ;
COMENTARIO_LINEA: // comentario
COMENTARIO_BLOQUE: /* bloque */
PALABRA_RESERVADA: cout
OPERADOR: <
OPERADOR: <
CADENA: "Hola mundo"
SEPARADOR: ;
SEPARADOR: }
